UFID_Corrected,YEAR,hcw,CG,Ranch,LOT,RanchLOT,PC1,PC2
N60071,2017,902,7,Ranch13,_7096,Ranch13_7096,-0.00126555,-0.0176132
N60072,2017,877,7,Ranch13,_7096,Ranch13_7096,0.00978564,-0.0178789
N60073,2017,893,7,Ranch13,_7096,Ranch13_7096,-0.00641428,-0.028192
N60074,2017,726,7,Ranch13,_7096,Ranch13_7096,0.000665902,-0.0232844
N60075,2017,901,7,Ranch13,_7096,Ranch13_7096,-0.0126164,-0.0138495
N60076,2017,784,7,Ranch13,_7096,Ranch13_7096,-0.00504898,-0.0334021
N60077,2017,872,7,Ranch13,_7096,Ranch13_7096,-0.00400574,-0.0387792
N60078,2017,838,7,Ranch13,_7096,Ranch13_7096,-0.00325058,-0.0247066
N60079,2017,850,7,Ranch13,_7096,Ranch13_7096,-0.000712335,-0.00759596
N60080,2017,829,7,Ranch13,_7096,Ranch13_7096,-0.00416515,-0.0353594
N60081,2017,773,7,Ranch13,_7096,Ranch13_7096,-0.00320478,-0.0445708
N60082,2017,762,7,Ranch13,_7096,Ranch13_7096,-0.0050172,-0.0438967
N60083,2017,863,7,Ranch13,_7096,Ranch13_7096,0.00055911,-0.0385729
N60084,2017,758,7,Ranch13,_7096,Ranch13_7096,-0.00199881,0.0076327
N60085,2017,922,7,Ranch13,_7096,Ranch13_7096,-0.00408784,-0.0341025
N60086,2017,793,7,Ranch13,_7096,Ranch13_7096,-0.000819476,-0.0212121
N60087,2017,730,7,Ranch13,_7096,Ranch13_7096,0.00393324,-0.0609825
N60088,2017,947,7,Ranch13,_7096,Ranch13_7096,0.00296948,0.0013968
N60089,2017,862,7,Ranch13,_7096,Ranch13_7096,0.00276135,0.00319451
N60090,2017,792,7,Ranch13,_7096,Ranch13_7096,0.00915311,0.00393682
N60091,2017,739,7,Ranch13,_7096,Ranch13_7096,0.0031823,0.00336002
N60093,2017,876,7,Ranch13,_7096,Ranch13_7096,-0.00980639,-0.0316771
N60094,2017,799,7,Ranch13,_7096,Ranch13_7096,-0.00317363,-0.0463578
N60095,2017,829,7,Ranch13,_7096,Ranch13_7096,0.00210716,-0.0146236
N60096,2017,846,7,Ranch13,_7096,Ranch13_7096,-0.00216536,-0.0240073
N60097,2017,790,7,Ranch13,_7096,Ranch13_7096,-0.00192855,-0.0272059
N60098,2017,854,7,Ranch13,_7096,Ranch13_7096,-0.00137129,0.00146505
N60099,2017,882,7,Ranch13,_7096,Ranch13_7096,0.0059864,-0.020567
N60100,2017,822,7,Ranch13,_7096,Ranch13_7096,-0.0076694,-0.0210227
N60101,2017,745,7,Ranch13,_7096,Ranch13_7096,0.00197458,-0.0209132
N60102,2017,820,7,Ranch13,_7096,Ranch13_7096,0.00415982,-0.0151759
N60103,2017,833,7,Ranch13,_7096,Ranch13_7096,-0.00528247,-0.0516241
N60104,2017,690,7,Ranch13,_7096,Ranch13_7096,0.00513306,-0.0174231
N60105,2017,855,7,Ranch13,_7096,Ranch13_7096,-0.000720013,-0.0313881
N60106,2017,727,7,Ranch13,_7096,Ranch13_7096,-0.00187948,0.0116792
N60107,2017,968,7,Ranch13,_7096,Ranch13_7096,-4.00E-05,-0.0089213
N60108,2017,822,7,Ranch13,_7096,Ranch13_7096,0.00326351,0.01184
N60109,2017,830,7,Ranch13,_7096,Ranch13_7096,-0.00554088,-0.0275111
N60110,2017,882,7,Ranch13,_7096,Ranch13_7096,-0.000324134,-0.00699789
N60111,2017,1048,7,Ranch13,_7096,Ranch13_7096,0.00272647,0.00137619
N60112,2017,776,7,Ranch13,_7096,Ranch13_7096,-0.00767128,-0.0316068
